전략,설명
프레이밍,특정한 문제나 질문을 특정한 방식으로 제시하여 수신자의 반응을 유도하는 기법입니다.
혼합 전략,"여러 설득 기술을 조합하여 특정 목표를 달성하는 방식으로, 다각적인 접근법을 통해 설득력을 강화하는 전략입니다."
사회적 기대,특정 집단이나 문화에서 보편적으로 요구되는 행동이나 태도에 영향을 받는 심리적 압력입니다.
감정적 호소,청중의 감정을 자극하여 주장을 설득력 있게 만드는 방법입니다.
전문가 인증,특정 분야의 권위자나 전문가의 의견이나 조언을 인용하여 신뢰성을 높이는 방법입니다.
사례 기반 설득,특정 사례나 예시를 통해 주장을 강화하여 상대방을 설득하는 방법입니다.
구체적인 행동 지침 제공,대상 행동을 위한 구체적이고 실질적인 단계 또는 절차를 명시하여 상대방이 쉽게 이해하고 따를 수 있도록 돕는 전략입니다.
스토리텔링,이야기를 통해 정보를 전달하고 감정적으로 연결시키는 기법입니다.
심리적 요인 분석,개인의 행동에 영향을 미치는 심리적 상태나 특징을 연구하는 방법론입니다.
정체성 문제,"개인이나 집단이 자신의 정치적 정체성과 관련된 불확실성이나 혼란을 느끼며, 이는 의견 표현을 저해할 수 있는 심리적 장애물입니다."
사회적 관점,정치적 이념과 행동에 영향을 미치는 사회적 영향과 역학을 고려하는 전략입니다.
관계 레버리지,특정 인물이나 집단과의 관계를 활용하여 타인의 의견이나 행동에 영향을 미치는 전략입니다.
문제 해결 지향,전략적 방법과 실행 가능한 단계를 통해 특정 문제를 식별하고 해결하려는 접근법입니다.
특정 사례 요청,제안된 행동이나 변화의 필요성을 시각화하고 정당화하기 위해 구체적인 사례나 예시를 요청하는 전략입니다.
복잡성 인정,문제의 다면적인 성격을 인식함으로써 이해를 높이고 깊은 분석을 유도하는 전략입니다.
문-앞에서의 거절,"처음에 작은 요청을 하고, 그 요청이 거절당했을 때 더 큰 요청을 하는 방법으로 상대방의 순응을 이끌어내는 전략입니다."
동맹 구축,지원자를 확보하거나 공감대를 형성하기 위해 신뢰를 구축하는 전략입니다.
피드백과 지원의 차이,각기 다른 집단이 받는 피드백의 질과 양의 차이를 강조하여 특정 집단의 성과를 부각시키는 전략입니다.
기대 설정,상대방이 특정한 행동이나 반응을 할 것으로 기대하게 만들어 그에 맞는 행동을 유도하는 전략입니다.
집단주의,개인의 이익보다 집단 또는 사회의 이익을 우선시하는 문화적 경향을 강조하는 전략입니다.
스캐링,두려움을 통해 사람들에게 특정 행동을 하도록 유도하는 전략입니다.
네트워킹과 협업,사람들과의 관계를 통해 정보나 자원을 교환하고 강화하는 전략입니다.
미학적 탈구축,"예술 작품의 가치가 맥락에 따라 변한다고 주장하며, 손괴가 기존의 미적 가치 체계를 전복하는 시도로 해석될 수 있음을 나타내는 전략입니다."
도발적 언행,상대방의 감정을 자극하는 언행을 사용하여 특정 반응을 유도하는 전략입니다.
백그라운드 조사,피의자의 과거와 관련된 정보를 수집하여 신뢰성을 높이는 전략입니다.
대화와 소통,상대방과의 의견 교환 및 감정 공유를 통해 관계를 유지하고 개선하기 위한 전략입니다.
동기 부여 상실,개인이 특정 행동에 대한 열의나 흥미를 잃게 만드는 심리적 요인을 강조하는 전략입니다.
조각화,문제의 복잡성을 인정하고 이를 더 작고 관리 가능한 부분으로 나누어 논의와 해결을 용이하게 하는 전략입니다.
투사,개인이 자신의 부정적인 감정이나 갈등을 외부의 대상이나 상황으로 전이하여 정당화하는 심리적 방어 기제입니다.
성공의 정의,"문화적, 사회적 맥락에서 성공이 어떤 방식으로 이해되고 평가되는지를 나타내는 개념입니다."
퇴행성 소각,사회적 요인이나 문화적 배경에서 기인한 어려움을 부각하여 문제의 복잡성을 강조하는 전략입니다.
무지,질병에 대한 무지 또는 부족한 정보가 개인의 건강에 대한 위험 평가에 영향을 미치는 요인입니다.
억압,고통스럽거나 불안한 감정을 의식에서 밀어내어 인식하지 못하도록 하는 심리적 과정입니다.
동의 편향,개인이 기존 신념이나 관념과 일치하는 주장에 더 쉽게 동의하는 경향을 의미하는 편향입니다.
낙관적 투자 심리,투자가 긍정적인 결과를 가져올 것이라는 기대감을 고취시켜 투자 결정을 유도하는 심리적 접근입니다.
주의 환기,특정 주제를 끌어내어 청중의 관심을 집중시키는 전략입니다.
합의 또는 조정,"법적 다툼이 불리할 경우, 합의를 통해 사건을 해결하려는 전략입니다."
위조 의도 부인,문서가 법적 효력이 없는 용도로 작성되었음을 주장하여 방어하는 전략입니다.
보호적인 양육,부모가 자녀를 과도하게 보호하여 자녀의 자율성과 문제 해결 능력에 영향을 미치는 접근 방식입니다.
이념적 대립,특정 이념이나 가치에 맞지 않는 집단이나 개인을 비난하며 자신의 이념을 정당화하는 전략입니다.
글로벌 관광 트렌드,팬데믹 이후 국내 여행에 대한 관심 증가와 안전한 여행지로서 제주도의 매력을 강조하는 전략입니다.
투자와 더불어 발전하는 인프라,관광 인프라의 발전과 SNS 활용을 통해 제주도의 인지도를 높이고 관광객을 유치하는 전략입니다.
피부 밑으로 들어가기,메시지를 통해 감정적으로 강렬한 반응을 유도하여 더 강력한 설득 효과를 얻는 전략입니다.
질문 기법,청중에게 질문을 던져 생각하게 하여 논의에 적극적으로 참여하도록 유도하는 전략입니다.
거짓 정보 유포,의도적으로 잘못된 정보를 퍼뜨려 여론을 조작하고자 하는 전략입니다.
정치적 레토릭 사용,정치적 메시지를 통해 여론을 조작하고 자신의 입장을 정당화하려는 전략입니다.
인간의 복잡성,인간의 복잡한 감정과 경험을 바탕으로 행동을 분석하는 전략입니다.
몸짓 사용,비유적이고 감정적인 표현을 통해 특정한 행동이나 반응을 유도하는 전략입니다.
구체적인 예 제공,주장을 설명하거나 강조하기 위해 구체적인 예시를 제공하는 전략입니다.
패러디,특정 상황에서의 요청을 일반적인 질문처럼 구성하여 비정상적인 요청을 감추는 전략입니다.
가족의 역사 탐구,가족의 과거에 대한 이야기를 나누어 서로의 배경과 연결을 이해하는 전략입니다.
게임화 요소 도입,일상적인 활동에 게임의 요소를 적용하여 흥미를 유도하고 참여를 촉진하는 전략입니다.
전략적 무시,주요 주장을 무시하거나 반박하기보다는 주의를 분산시키고 다른 관점으로 전환해 주장을 강화하는 전략입니다.
프로세스 개선,시민들이 자신의 의견을 경청하고 반영할 수 있는 제도와 소통의 장을 마련해야 한다는 인식을 증대시키는 전략입니다.
사고 기록 보존,사고의 객관적인 기록을 통해 상황을 명확히 하고 필요한 증거를 확보하도록 하는 전략입니다.
